ID,Variety,Origin,Month,Glycerol,mannonic acid ,Malic acid,"9,12-Octadecadienoic acid (Z,Z)",Palmitic Acid,L-Proline,fructose,Lactic Acid,Myo-Inositol,L-Threonine,citric acid,Maltose,glycolic acid,L-Phenylalanine,L-5-Oxoproline,L-Valine,Phenol,Ribitol,GABA,L-Tryptophan,Propanedioic acid,L-Isoleucine,Acetic Acid Isomer 2,"1,3-Butanediol",Alanine,Isobutyric Acid,Pyrazine,DL-Alanine,acetaldehyde,Diacetyl,Ethanol,"2-Butanone, 3-methyl-",Acetoin,2-methylphenyl alcohol,Methane
CSU.22.011-023-Scarlett-_Malt_-CMC,Scarlett,Maltster C,1,334436405.3,1347375.411,15567667.4,13590552.48,31027273.15,341765737.6,116798502.9,14974781.72,23065676.51,24683040.46,16803255.57,11282224.11,1190889.148,69850652.57,120743352.1,134817428.7,945594.1405,12934249.39,11270922.55,47082567.12,65820849.37,57941291.6,168175745.9,22217682.29,231664.8749,440396.2094,768172.0559,19313250.63,9976876.354,4740356.751,309698.5397,20793516.15,166511.7235,914024.1608,2047700.137
CSU.22.024-029-Rahr-_Malt_-Rahr,Rahr,Maltster A,1,262221862.9,6188841.199,61583548.74,18604756.07,34257389.8,105286220.5,250256088,128171567,36126152.64,16036806.93,11214211.88,31690009.91,18150035.86,43185549.73,89265283.38,69897663.97,8234931.376,17495261.71,29835004.47,30626289.24,19009218.92,31540446.68,113650362.3,13280876.89,1724119.714,591343.7221,942138.6885,13742618.06,13350678.78,4292008.218,271175.1757,10408246.24,554485.8588,814061.839,409200.3714
CSU.22.004-032-Butta 12-_Malt_-Admiral,Butta 12,Maltster B,1,194724612.9,2570557.868,25521370.11,8736757.19,26558325.97,262981549,148833319.1,28859275.38,31341595.5,19825653.29,18008814.75,26343183.92,4128730.607,45404848.31,130331326.8,86864163.4,5868456.205,29719952.05,19821403.35,46995551.77,7564427.422,40245149.95,144164913.3,16246713.85,412322.9228,1115494.536,906306.8155,16432285.76,14875203.93,5400608.069,237799.6406,14630980.72,259553.5388,896957.0338,1909870.497
CSU.22.025-002-Rahr-_Malt_-Rahr,Rahr,Maltster A,2,257601360,4503240.491,54630652.87,17080654.66,32353221.85,123954915.3,212054964.2,59916269.02,36042172.95,12934896.85,14585137.36,16740414.39,4142028.892,42676634.39,90169401.11,69664358.57,6440435.678,9472843.403,24253887.84,34805611.8,10379029.24,27559423.44,118602693.2,16802369.47,939579.75,908846.9722,913724.5617,17265647.84,7145051.746,3482003.355,293992.134,13566501.29,188834.1268,810985.8974,392665.4212
CSU.22.007-025-Butta 12-_Malt_-Admiral,Butta 12,Maltster B,2,190853653.9,3834289.121,35129267.58,15828167.69,35136598.35,257692283.5,133185329.8,41123941.08,24289266.72,21611709.79,17322018.64,23738878.8,6278603.844,38801702.33,131974844.3,115671866.8,6392618.778,29905723.52,33440695.89,47361393.14,16129847.41,50696953.87,115880819.2,28235690,781579.0276,1018014.998,832144.0714,28039997.27,13209430.56,3216079.837,437583.984,29206784.16,271520.9159,1006188.074,1996602.628
CSU.22.010-012-Butta 12-_Malt_-Admiral,Butta 12,Maltster B,3,206230465.9,11312909.28,23102930.01,23230801.1,43527351.5,237634143.8,156658946.1,18197326.49,23682744.24,26774165.91,18986720.82,25082397.94,16587262.94,58510000.24,139355169,129258936.1,3275775.105,20642935.11,18153900.78,49760090.17,2911090.761,51444393.49,161228873.9,14659171.79,609345.6702,1449623.516,812978.6081,14370592.5,14746439.41,5190657.147,717203.1293,14194393.38,201944.239,717852.8781,1272626.946
CSU.22.026-043-Rahr-_Malt_-Rahr,Rahr,Maltster A,3,202357861.3,3272286.821,61692360.19,18850786.32,28349767.35,126661709.8,154795506,56832787.38,20376562.56,11722420.83,10958467.28,31386513.66,2132707.435,26870393.5,76992072,61043493.56,1752781.715,10493515.57,20818750.4,24576114.39,41161909.23,25192204.95,74736104.4,16439730.92,505257.3148,555844.9825,765747.7778,14822612.05,14048630.46,2036256.98,285385.3998,13496420.11,190710.1137,312785.5942,467755.552
CSU.22.008-022-Butta 12-_Malt_-Admiral,Butta 12,Maltster B,4,259688929.5,23784561.41,19027711.09,26138488.22,42048427.05,197055400.9,105060509.5,12553786.9,21402962.8,20185890.81,14722061.23,22466376.83,55370097.57,40204104.1,124896299.5,97630601.94,27469229.02,21221504.45,16186368.55,44641342.38,3770023.032,43657951.4,116799385.9,22525667.16,221870.2616,1610199.372,728612.3175,21510417.19,15192074.24,3413419.783,945921.7681,20159363.12,99383.84597,865241.0756,1594823.208
CSU.22.027-030-Rahr-_Malt_-Rahr,Rahr,Maltster A,4,231479079.3,2226448.688,53766008.98,23533585.76,37071345.53,144728252.8,203883951.8,171055646.9,38571468.32,12691865.72,13654384.37,34605157.2,2459348.023,37364358.62,99540670.5,70502160.28,6042953.218,27263787.17,20537221.63,32397408.24,27711822.5,29249089.89,102645000.1,17929470.35,778999.4978,1052810.547,843800.8465,16921210.71,13073786.86,3229205.717,346893.1014,14019222.45,347531.3521,566167.0263,254770.3112
CSU.22.009-019-Butta 12-_Malt_-Admiral,Butta 12,Maltster B,5,434804940.2,58789694.17,27263468.81,28740352.18,43740160.14,199246760.6,116809258.7,14264694.18,24555047.43,15995880.04,13685401.17,30793278.77,91168769.97,31213505.1,129319249.9,77255709.61,56050636.51,25121580.64,20554952.57,45005173.52,2227947.524,35792874.73,92598592.88,19650050.68,845874.5505,893212.763,749629.0636,18747371.95,9898133.472,2283401.634,984544.857,16593066.28,224294.2885,793019.9287,1853865.955
CSU.22.028-021-Rahr-_Malt_-Rahr,Rahr,Maltster A,5,210311632.4,3132613.63,45032986.65,19131505.94,30355823.22,101992275.7,208581505.2,129768853.7,29456844.25,9245419.938,9302918.922,37127618.35,3176996.451,21585018.82,72885208.25,54667297.3,7855314.659,16803316.81,18981986.78,20239710.02,27996069.05,19940052.15,76312694.91,16663111.54,1358171.743,4677174.729,562312.6232,15499146.87,12730274.4,2146772.884,308401.4023,12045571.93,861760.9536,517307.7081,440548.1476
CSU.22.001-015-Butta 12-_Malt_-Admiral,Butta 12,Maltster B,6,671448747,145511248.7,25777673.72,34877490.01,62950582.94,223701886.2,89941193.22,25279922.76,38262900.89,11610234.61,15861475,9869045.828,102124876.5,31968661.88,112184246.2,67760099.45,7974994.748,23716038.07,19848376.95,43995642.98,6665079.203,30558547.82,95719144.27,17093222.99,374208.7003,833429.5473,761505.3621,16954001.91,8057756.45,1974860.414,985895.9777,16772393.8,177019.8487,456300.7171,447355.7505
