ID,Variety,Origin,Month,L-Proline,Fructose,Lactic Acid,L-Threonine,Maltose,L-Phenylalanine,L-Valine,L-Tryptophan,L-Isoleucine,Isobutyric Acid,L-Alanine,Acetaldehyde,Diacetyl
CSU.22.011-023-Scarlett-_Malt_-CMC,Scarlett,Maltster C,1,341765737.6,116798502.9,14974781.72,24683040.46,11282224.11,69850652.57,134817428.7,47082567.12,57941291.6,440396.2094,19313250.63,9976876.354,4740356.751
CSU.22.024-029-Rahr-_Malt_-Rahr,Rahr,Maltster A,1,105286220.5,250256088,128171567,16036806.93,31690009.91,43185549.73,69897663.97,30626289.24,31540446.68,591343.7221,13742618.06,13350678.78,4292008.218
CSU.22.004-032-Butta 12-_Malt_-Admiral,Butta 12,Maltster B,1,262981549,148833319.1,28859275.38,19825653.29,26343183.92,45404848.31,86864163.4,46995551.77,40245149.95,1115494.536,16432285.76,14875203.93,5400608.069
CSU.22.025-002-Rahr-_Malt_-Rahr,Rahr,Maltster A,2,123954915.3,212054964.2,59916269.02,12934896.85,16740414.39,42676634.39,69664358.57,34805611.8,27559423.44,908846.9722,17265647.84,7145051.746,3482003.355
CSU.22.007-025-Butta 12-_Malt_-Admiral,Butta 12,Maltster B,2,257692283.5,133185329.8,41123941.08,21611709.79,23738878.8,38801702.33,115671866.8,47361393.14,50696953.87,1018014.998,28039997.27,13209430.56,3216079.837
CSU.22.010-012-Butta 12-_Malt_-Admiral,Butta 12,Maltster B,3,237634143.8,156658946.1,18197326.49,26774165.91,25082397.94,58510000.24,129258936.1,49760090.17,51444393.49,1449623.516,14370592.5,14746439.41,5190657.147
CSU.22.026-043-Rahr-_Malt_-Rahr,Rahr,Maltster A,3,126661709.8,154795506,56832787.38,11722420.83,31386513.66,26870393.5,61043493.56,24576114.39,25192204.95,555844.9825,14822612.05,14048630.46,2036256.98
CSU.22.008-022-Butta 12-_Malt_-Admiral,Butta 12,Maltster B,4,197055400.9,105060509.5,12553786.9,20185890.81,22466376.83,40204104.1,97630601.94,44641342.38,43657951.4,1610199.372,21510417.19,15192074.24,3413419.783
CSU.22.027-030-Rahr-_Malt_-Rahr,Rahr,Maltster A,4,144728252.8,203883951.8,171055646.9,12691865.72,34605157.2,37364358.62,70502160.28,32397408.24,29249089.89,1052810.547,16921210.71,13073786.86,3229205.717
CSU.22.009-019-Butta 12-_Malt_-Admiral,Butta 12,Maltster B,5,199246760.6,116809258.7,14264694.18,15995880.04,30793278.77,31213505.1,77255709.61,45005173.52,35792874.73,893212.763,18747371.95,9898133.472,2283401.634
CSU.22.028-021-Rahr-_Malt_-Rahr,Rahr,Maltster A,5,101992275.7,208581505.2,129768853.7,9245419.938,37127618.35,21585018.82,54667297.3,20239710.02,19940052.15,4677174.729,15499146.87,12730274.4,2146772.884
CSU.22.001-015-Butta 12-_Malt_-Admiral,Butta 12,Maltster B,6,223701886.2,89941193.22,25279922.76,11610234.61,9869045.828,31968661.88,67760099.45,43995642.98,30558547.82,833429.5473,16954001.91,8057756.45,1974860.414
