,1,2,3,4,5,6,7,8,9,10,11,12
Long-chain fatty acids,-0.338513527,1.435713874,-0.832737558,-0.242750675,-0.564180407,-0.666071349,-0.325883677,-0.521294323,0.318440213,-0.446181921,2.549060484,-0.365601134
Phytoceramides,-1.111077545,1.405717666,-0.982548795,-0.165097002,2.250215884,0.711077784,0.116789508,-0.340864071,-0.283966847,-0.375505033,-0.86360473,-0.36113682
Phytoceramides.1,0.116991252,0.738090319,-0.106290866,0.49686711,1.829155067,1.440395193,-0.230952826,-1.178904515,-1.485882432,-0.264542897,-0.926378801,-0.428546603
Fatty acid esters,1.26653089,-1.283657734,-0.242492022,0.732454602,1.391012009,0.200930861,-2.09164291,0.460268363,-0.670014289,0.322295208,0.088041512,-0.173726489
Phosphoethanolamines,-0.869697905,1.405326976,-0.543111696,0.189137034,-0.560898573,-0.63348418,-1.671311757,0.272470115,1.195139123,-0.47059284,1.644032467,0.042991237
Long-chain fatty acids.1,-0.569239068,0.985904659,-1.155020021,0.771722036,-0.890658437,-0.873103679,0.230670211,-0.402302116,0.771486542,-0.66004665,2.193318955,-0.402732432
Phytoceramides.2,-0.520194839,0.90808382,1.588852346,-0.428964926,1.346353652,1.079848526,0.300359509,-1.265192943,-1.177805117,-0.595211296,-0.720874634,-0.515254098
Ceramides,0.707113891,1.608161485,-0.648346358,1.261147534,-0.237070555,-0.267527991,0.837831379,-1.027465992,0.303789781,-1.336306983,0.241341102,-1.442667291
Phytoceramides.3,-0.081932705,1.452570684,-0.333567346,-0.676703184,0.994411661,0.487989048,-0.500907022,-1.464319356,-0.541117035,-0.620271224,1.904921509,-0.62107503
Lineolic acids and derivatives,0.170082003,1.989776602,-0.926668594,1.267401229,-0.488621506,-0.81216827,1.055965114,-0.598216096,0.075083176,-0.769858517,0.264856333,-1.227631476
Cinnamaldehydes,0.844943868,0.22214058,0.331942101,1.234573426,0.613858008,1.524613844,-0.032027327,-1.043140639,-1.04364267,-0.207426272,-0.636121396,-1.809713524
Ceramides.1,-1.380783426,1.597789295,1.883031618,-0.669522228,1.098677251,0.097265813,-0.596889185,-0.287062933,-0.703710815,-0.498788269,-0.296477622,-0.2435295
Secondary alcohols,1.699351289,0.181387159,-0.598880012,1.063838986,0.342453451,-0.078197436,1.244671696,-1.230036051,-0.067248169,-0.892220761,-0.0526835,-1.612436654
Phytoceramides.4,0.311858375,1.438876371,-0.692997728,-0.80220742,1.016409833,1.026993316,0.428434703,0.486349544,-2.125899216,-0.234336588,-0.064715753,-0.788765436
Resorcinols,0.02726237,-0.442480108,1.517490687,0.352853883,-0.271782503,1.181392765,-1.419210591,-0.474637834,-1.030281574,1.628100537,-0.972492162,-0.09621547
Long-chain ceramides,2.070762362,1.148305593,-1.676918922,0.138452657,0.440886596,-0.093875221,-0.503539228,-0.05166485,-0.133461422,-0.74611708,0.525919877,-1.118750362
Lineolic acids and derivatives.1,1.123697235,-1.655844735,1.302216034,0.349537006,-0.003985322,-0.483062887,-1.121725065,1.609275574,-0.731012727,-0.219719058,-0.584257438,0.414881384
Fatty aldehydes,-0.113997583,0.567628358,-0.892223003,0.863586893,-0.862026727,-0.884738172,0.3694746,-0.976987165,1.064058338,-0.063869721,2.035881522,-1.10678734
Long-chain fatty acids.2,-0.273918691,0.827975715,-1.168863956,0.687033352,0.427394414,-0.28545825,0.978306392,-1.132131342,0.788542474,-1.095444148,1.545606842,-1.2990428
Oligosaccharides,-0.691419799,1.88455333,0.499513938,-1.062373692,-1.076663464,1.463595829,0.306490124,0.814029276,-0.287823752,-0.42604565,-0.353942046,-1.069914094
Long-chain fatty acids.3,-0.915910406,1.063639006,-0.547521164,1.529260172,-1.669329192,0.361112916,0.300285539,-1.003844368,1.182901224,-0.060215106,0.567071404,-0.807450027
Medium-chain fatty acids,-1.321815763,-0.611362289,-0.792638735,-0.003247884,-0.22933228,-0.593116577,-1.187132425,1.079571374,0.058578346,1.963664773,0.627896915,1.008934545
