,1,2,3,4,5,6,7,8,9,10,11,12
Glycerol,-1.372908543,-1.393206721,-1.312575211,-1.032254645,-0.113997442,1.12689355,0.504631211,0.418404456,0.812783672,0.977274509,0.914244606,0.470710556
mannonic acid ,-1.33555028,-1.30805783,-1.145360588,-0.874040028,-0.112504017,1.774121786,0.630950322,0.147671243,0.640526792,1.073995094,0.533878245,-0.025630741
Malic acid,-0.042359235,1.653318937,-0.469184782,-1.188411833,0.265100201,0.002875265,-1.030401892,1.868592348,0.792783799,-0.316404207,-0.543780317,-0.992128284
"9,12-Octadecadienoic acid (Z,Z)",-2.24993945,-1.375350909,-0.462379032,-0.103771976,0.217117698,0.974015133,0.408070336,0.014048737,-0.155379136,0.604536593,1.025405842,1.103626164
Palmitic Acid,-1.992697512,-1.213597962,-0.451529365,-0.585848879,-0.432201567,1.312535728,0.148812553,0.118871642,0.074680876,1.067514931,1.048310456,0.905149099
L-Proline,1.512594949,1.374641116,0.851487712,-0.206880999,-0.149726282,0.488108651,-0.47398696,0.228489268,0.335574109,-1.605795361,-1.01292142,-1.341584782
fructose,1.366082395,0.802181224,1.648091805,-0.211343185,0.212042421,-0.756192749,-0.381273794,0.109708621,-1.065501146,0.099264701,-1.947950885,0.124890592
Lactic Acid,-0.590853394,-0.272251778,-0.867820923,-1.014424253,-0.96997968,-0.683834936,-1.014342447,1.370096117,0.710245552,1.434192774,0.709018265,1.189954702
Myo-Inositol,-0.103065471,-0.997495421,-1.074419213,-1.363558427,-0.963787091,0.774747096,-0.833958366,0.509967649,0.975803536,1.351544012,1.201747421,0.522474274
L-Threonine,0.790191527,1.100209262,1.99629119,0.852720356,0.12543225,-0.635813467,-0.844427793,0.165992577,-0.588250174,-0.922345496,-0.934377093,-1.10562314
citric acid,1.165012668,0.948721297,1.472982736,0.129921736,-0.196551613,0.488755112,0.429939788,-0.305432301,-0.008027698,-1.500307698,-0.922553541,-1.702460486
Maltose,0.565726491,0.252788509,0.414228182,0.099882386,1.100457883,-1.413835538,-0.814296256,0.722821218,-0.995449222,1.851441541,-1.012999428,-0.770765766
glycolic acid,-1.676834623,-1.616056357,-1.324624095,-0.22820902,0.783841916,1.093577923,-0.092276276,0.495571411,0.73032318,0.601941184,0.774355664,0.458389092
L-Phenylalanine,1.118266175,0.473402879,2.398115429,0.610361449,-0.26766053,-0.193911912,-0.987769538,-0.397199162,-0.606016628,-0.319322629,-1.010754238,-0.817511295
L-5-Oxoproline,0.810691445,0.905269412,1.329978065,0.497927004,0.752450401,-0.233601656,-1.265429464,0.306158278,0.648802155,-1.286670758,-1.039523197,-1.426051685
L-Valine,0.237242059,1.501014811,2.097069545,0.709557796,-0.184273739,-0.600839171,-0.818180245,0.065952301,-0.184065186,-1.073872474,-0.835289995,-0.914315702
Phenol,-0.728198978,-0.692485623,-0.90484902,0.743550645,2.690919662,-0.58467183,0.768135822,-0.332208065,-0.23065471,-0.228050299,-0.479143171,-0.022344432
Ribitol,1.648673033,1.700783146,-0.89748963,-0.735197143,0.358799755,-0.035464135,-1.308135776,0.943882871,-0.74065844,-0.779706724,-0.344648702,0.189161744
GABA,0.130802493,2.515599693,-0.16118444,-0.505707868,0.259250144,0.135525688,-1.311951891,0.374070036,0.724510665,-0.286779281,-0.759790291,-1.11434495
L-Tryptophan,0.993366208,1.033478164,1.296478568,0.735243563,0.775135111,0.664447126,-0.805976508,-0.898062866,-0.447262319,-1.248136246,-1.413419981,-0.685290821
Propanedioic acid,0.20360404,2.17957947,-0.86988435,-0.67173539,-1.027480155,-0.003868564,-0.972592005,1.532527813,-0.500269592,0.537119375,-0.08485648,-0.322144162
L-Isoleucine,0.516019718,1.640410737,1.720819287,0.883164311,0.037049933,-0.526051922,-1.113425179,-0.077973669,-0.220520113,-0.965262294,-0.987510976,-0.906719833
Acetic Acid Isomer 2,1.417283753,0.425711194,2.01550532,0.457913941,-0.390507867,-0.281108814,-1.02210378,0.178329223,-0.019498257,-0.268648294,-1.244441884,-1.268434535
"1,3-Butanediol",-0.28978221,2.390756316,-0.644730589,1.114088816,0.471148113,-0.100516644,-0.435413636,-0.826975485,0.68379313,-0.699766787,-0.609361583,-1.053239441
Alanine,-0.786971497,0.485918852,-0.107799642,-1.443495117,0.70755676,-0.918357886,-1.060659879,0.513146308,-0.503753023,2.110197025,0.732324101,0.271893997
Isobutyric Acid,0.218825755,-0.024058032,1.051354446,1.45145146,-0.335020108,-0.483978281,-1.217191081,0.40634854,-0.517513714,1.708995164,-1.183565735,-1.075648414
Pyrazine,1.184052441,0.746937488,0.633976314,0.136721694,0.260594321,0.330593183,-0.802752904,0.372188254,1.200489671,-0.663457564,-1.710404133,-1.688938766
DL-Alanine,-0.140476067,2.550795478,-0.618483847,1.036899043,0.396281379,-0.019515116,-0.112862395,-1.259053669,0.035252624,-0.698426023,-0.377022986,-0.793388421
