,1,2,3,4,5,6,7,8,9,10,11,12
Long-chain fatty acids,-1.834747729,-1.57717872,-0.876639641,-0.649454573,0.092881938,0.668535505,0.917843152,1.110052055,0.561364074,0.145136767,0.563740476,0.878466695
Phytoceramides,0.621698802,0.376239465,-1.502894889,-1.208703774,-0.593293258,0.374904762,1.464890266,-0.57692484,-0.527149786,1.837163761,-0.348096925,0.082166418
Phytoceramides.1,0.390138477,1.604974089,-0.647347663,0.721593529,-0.93500419,0.241487897,1.650492286,-1.099198375,-1.00571107,-0.468683946,-0.979223826,0.526482792
Fatty acid esters,-0.47447998,0.942328878,-0.734577929,-1.558859959,-0.325841671,0.619404105,-0.406270822,0.84632959,-1.5451661,0.164610378,1.042934542,1.429588969
Phosphoethanolamines,2.394229698,-0.383189437,0.780022202,-1.476462299,-0.519333167,0.530010157,-0.314987539,0.825127044,-0.536690164,-0.405407634,-0.172447848,-0.720871012
Long-chain fatty acids.1,-1.684534958,-1.601496033,-0.772874677,-0.814231244,0.420217755,0.80768377,1.395376887,0.389833772,0.629984463,-0.060035743,0.347860598,0.942215409
Phytoceramides.2,0.73726707,1.625115434,-0.712908675,-0.135301635,-0.452588195,0.188026408,0.764452362,-0.296102452,-0.602736045,-1.737634761,-0.872068813,1.494479301
Ceramides,-0.172899296,2.142812304,0.538978072,0.780258035,-0.263040892,0.8007224,0.593269509,-0.795542502,-0.784257895,-0.52733946,-0.827909084,-1.485051191
Phytoceramides.3,0.850277178,-0.115732333,-0.651071016,-0.199562839,-1.114194156,-1.236510749,-0.28649997,0.199877622,-0.331009841,2.329992631,-0.502322805,1.056756279
Lineolic acids and derivatives,-1.156403405,-1.149434383,-0.059530955,1.279645962,0.138103528,1.287450569,1.502291336,-1.008026161,-1.15733336,0.223195836,0.47230922,-0.372268188
Cinnamaldehydes,-1.117225957,-0.203227232,-0.298016846,-0.548768019,-0.147687362,1.449970959,-0.812475156,1.670323437,1.622531008,-0.532172078,-0.192564337,-0.890688417
Ceramides.1,0.541651765,1.388391088,0.253516423,-1.263467961,-1.007031748,0.728843314,0.526235535,-0.593482239,-0.592951669,-1.743322879,0.907967749,0.853650623
Secondary alcohols,-0.541568492,0.804862305,1.496511009,0.934284613,-0.361430956,0.51758281,1.401223764,-1.333453906,-1.127990457,-0.279774362,-0.358035333,-1.152210996
Phytoceramides.4,0.003085468,-0.503475283,-1.443943113,-0.29825903,-0.663942943,0.182363765,0.09408127,-1.50730298,0.164453957,1.613249762,1.629286626,0.730402501
Resorcinols,0.015936184,-1.277445241,-1.316412855,-1.434059335,1.177865651,-0.127275158,0.501769477,-0.657139093,1.10824322,0.076761725,1.408203922,0.523551503
Long-chain ceramides,-1.592773532,0.125331748,0.010136989,-0.887607064,-0.338991495,1.124954624,-0.098728392,0.410087587,-1.040227391,1.99074589,0.859798578,-0.562727542
Lineolic acids and derivatives.1,-0.951320789,-0.734128561,-0.645823099,-0.322854229,-0.570670959,-0.242341271,-0.177362976,-0.42597071,0.601230492,0.464715948,2.795783594,0.208742559
Fatty aldehydes,-1.751131259,-1.427583715,-0.822512887,-0.773705436,0.359222277,0.587327673,0.144833978,1.397997418,1.183857791,0.124952275,0.116293194,0.860448691
Long-chain fatty acids.2,-0.919275475,-1.174553159,0.730224127,-1.420490301,-0.385191587,2.122975226,0.122832954,0.547903203,0.910872848,0.250839345,-0.554375331,-0.231761849
Oligosaccharides,1.14808093,-1.190600698,-0.102648081,-1.762045325,0.82586184,0.545779089,-0.105213939,-1.046461939,1.555713087,-0.145840338,0.678587438,-0.401212064
Long-chain fatty acids.3,-2.003793586,0.769217155,-0.724623151,0.336729395,-0.617172817,-0.19677252,-0.012646671,2.01859944,0.294238301,-0.70341801,0.823710251,0.015932214
Medium-chain fatty acids,-1.332797575,-0.791827606,-1.043398101,-1.060999082,-0.091780064,-0.692158847,0.141988022,0.390655943,0.696472792,1.15783759,1.786481274,0.839525655
Fatty acyl glycosides of mono- and disaccharides,-0.323112325,0.105129381,1.527650413,0.116749103,0.319980223,0.149835359,1.477811787,-0.717509789,-1.575938846,-1.637964544,0.721275185,-0.163905947
Stigmastanes and derivatives,1.028207758,1.165457569,-0.287561188,0.078847402,-1.526636245,-0.56881713,1.707180224,-1.288719164,-0.377412968,-0.135324864,-0.63396525,0.838743855
Ceramides.2,1.332402045,1.209002965,0.897942759,0.349554601,0.196239169,0.349825106,-0.724598538,-1.499856736,-1.720828621,-0.830080081,0.495668564,-0.055271233
Saccharolipids,0.805356895,0.140470285,0.85323752,-1.842646907,0.810455515,-1.839743171,0.145233479,-0.788751656,0.630343225,-0.048092132,0.076755957,1.05738099
Long-chain fatty acids.4,-1.139414127,-0.805894189,-0.566599415,-1.059232967,-0.118152663,1.567585784,-0.148904547,1.630641443,-0.000899774,-0.917640068,0.331890936,1.226619585
Tyrosine and derivatives,0.655018973,1.993805995,0.377278347,-0.105692606,-0.23049543,-0.603888698,-0.89775069,-1.343357969,0.374894545,0.518375399,0.799683558,-1.537871425
Vitamin K compounds,0.227235929,2.439416935,-0.003518629,-0.802951701,-0.492917302,-0.722311106,-0.707879906,0.83771337,-0.820789211,0.337992531,0.735691381,-1.027682291
Long-chain fatty acids.5,-1.604865493,-0.801886536,-0.978984222,-0.852364681,-0.288739712,1.419956853,1.821539916,0.612209039,0.207998222,-0.190361873,0.258274866,0.397223622
Ceramides.3,0.862160925,1.276398465,-1.475726911,0.462856345,-1.168815249,0.20007592,1.006442801,-0.562922057,0.11662109,-0.736035692,-1.20378445,1.222728813
Glycosyl-N-acylsphingosines,1.218457487,-0.638585315,0.07219781,-0.400404132,0.537602368,0.342187917,1.942776595,-1.125687348,-0.904808889,-1.419477297,0.731095437,-0.355354633
Long-chain fatty acids.6,-1.465200393,-1.636541485,-0.845877682,-0.018621687,-0.513375675,1.043302617,0.483524537,0.079651188,-0.158315342,0.375891154,1.623182826,1.03237994
Phytoceramides.5,-0.828611828,-0.540408191,-1.406556396,-0.628924406,-1.392446669,1.511387239,-0.117754988,1.297628776,0.553962894,0.655858566,0.990240732,-0.094375727
Phenylalanine and derivatives,-1.91025224,-1.178822604,0.192963584,0.164833259,0.749225001,1.997227319,0.00180502,0.331107878,-0.840807737,-0.169182561,0.70670393,-0.044800848
Long-chain fatty acids.7,-1.74198024,-1.137212267,-1.061568761,-0.735853891,-0.426992036,0.673053936,0.105314814,0.762564142,1.04610564,0.687181306,1.432400463,0.396986893
Long-chain fatty acids.8,-0.53653686,-0.529415536,-0.421762572,-0.450450382,-0.200658837,-0.151197769,-0.344111392,-0.304490678,-0.230270955,0.095884628,3.116519627,-0.043509274
Quinoxalines,0.111001592,2.364391494,-1.297138419,0.301754939,0.384923395,0.18041976,-1.159065003,-1.211336945,-0.217485527,0.725790243,0.052175012,-0.235430543
Phenylpyridines,-0.805252362,0.364370084,-0.092393785,-0.312513366,0.453761454,0.410757648,-0.139469762,2.716645811,-0.370412242,-0.735968055,-1.269246781,-0.220278643
Stilbenes,-1.481083777,-1.141477597,-0.611712034,-0.756126125,-0.290173687,0.460120689,-0.127427012,2.019717836,-0.169784487,0.288632588,1.361356052,0.447957553
Ceramides.4,-2.654023931,-0.948423379,0.082522475,0.369436963,0.446609901,1.186119803,0.646226781,0.841073945,-0.334031544,0.190341271,0.184620843,-0.010473127
Long-chain fatty acids.9,-1.686404028,-1.275961734,-1.126740809,-0.723293427,-0.258294083,0.80316799,0.448589086,1.186194664,0.405275734,0.405906784,1.372911626,0.448648197
Long-chain fatty acids.10,-1.904000524,-1.150022079,-0.855542837,-0.672028928,0.026287009,0.4743967,-0.324702463,0.81279492,1.313553216,0.371654215,1.265097817,0.642512953
Stigmastanes and derivatives.1,0.660216481,1.422474607,-0.631718584,-1.044193943,-1.351962462,-0.607821725,1.227476527,-1.337016302,-0.274671226,1.032602607,0.385845828,0.518768192
Ceramides.5,0.264920967,1.449841669,1.006077087,0.601536815,-0.304873025,0.95776681,0.320643925,-0.832893679,-2.275139199,-0.405738941,-0.381240446,-0.400901983
Phytoceramides.6,0.626960134,1.210241949,-0.50911424,0.514672648,-0.573888147,0.242677052,1.855495659,-0.943263748,-1.604220383,-0.088453625,-1.089671648,0.358564349
Oligosaccharides.1,0.020438887,0.887799489,0.88315472,0.339811216,-0.859188389,0.0664982,2.037844322,-1.242328003,-1.320435403,-0.737194151,-0.580059251,0.503658364
Monomethylphosphatidylethanolamines,1.242696321,1.146448272,2.04007364,0.253635543,-0.565804351,-0.795654442,-0.592453605,0.375563473,-0.596825544,-0.734843469,-0.853162019,-0.91967382
Carotenes,-1.097710582,-1.522880517,-1.087087905,0.518128391,0.244155044,0.150925379,-0.494923503,-0.483881551,1.393485674,-0.110312301,1.697761488,0.792340384
Long-chain fatty acids.11,-0.880768358,-1.075541286,-0.654649648,0.130345016,-0.868361396,0.419909877,1.273979648,-0.416113752,-0.427207074,-0.310629271,0.490457758,2.318578487
Phytoceramides.7,-0.668431334,0.528183177,-1.32834262,-0.069870468,-1.050394464,0.947375997,-1.272820274,1.004968782,0.159979354,0.538998073,1.793741595,-0.583387818
